team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
PORTLAND TRAIL BLAZERS,240,31,66,1,8,21,25,8,33,13,9,3,18,25,84,LOSS
NEW YORK KNICKS,240,32,78,13,26,16,24,12,25,20,8,6,12,19,93,WIN
GOLDEN STATE WARRIORS,240,33,76,4,13,18,22,3,34,12,8,4,20,24,88,LOSS
OKLAHOMA CITY THUNDER,240,35,83,5,16,29,35,15,42,21,10,3,18,19,104,WIN
DENVER NUGGETS,240,29,74,11,18,24,26,11,30,20,7,2,15,17,93,WIN
PHILADELPHIA 76ERS,240,35,87,5,19,8,9,17,30,15,7,8,13,21,83,LOSS
SAN ANTONIO SPURS,240,34,70,9,22,24,31,7,26,19,6,4,15,16,101,LOSS
UTAH JAZZ,240,42,79,7,11,13,15,9,23,29,8,3,13,19,104,WIN
