team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
ORLANDO MAGIC,240,31,79,2,23,21,29,10,32,11,8,3,13,21,85,LOSS
ATLANTA HAWKS,240,35,75,6,15,12,20,7,37,21,7,4,14,26,88,WIN
LOS ANGELES LAKERS,240,31,72,4,18,22,30,9,23,17,6,6,9,22,88,LOSS
NEW ORLEANS HORNETS,240,33,74,4,14,23,27,12,27,25,6,3,10,25,93,WIN
BOSTON CELTICS,240,40,81,3,12,18,24,9,44,24,6,6,15,23,101,WIN
NEW YORK KNICKS,240,30,88,8,27,21,28,13,29,19,4,6,14,25,89,LOSS
MIAMI HEAT,240,30,78,5,23,17,21,9,32,14,8,8,8,17,82,LOSS
PHILADELPHIA 76ERS,240,32,79,8,18,14,16,9,40,18,7,4,13,18,86,WIN
