team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
NEW YORK KNICKS,240,33,72,11,31,25,31,10,34,17,9,5,16,22,102,WIN
DETROIT PISTONS,240,35,79,6,17,11,22,11,25,22,7,4,15,21,87,LOSS
MIAMI HEAT,240,40,83,2,13,17,23,4,31,22,14,2,6,27,99,WIN
LOS ANGELES LAKERS,240,31,72,10,22,18,28,8,34,22,3,1,20,23,90,LOSS
LOS ANGELES CLIPPERS,240,35,77,5,13,15,23,11,37,18,10,5,18,20,90,WIN
MINNESOTA TIMBERWOLVES,240,30,84,4,19,13,20,13,28,19,9,5,14,17,77,LOSS
MILWAUKEE BUCKS,240,39,92,6,16,14,20,13,38,24,7,11,18,18,98,WIN
PHOENIX SUNS,240,34,89,4,14,22,29,10,34,20,13,4,17,22,94,LOSS
