team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
INDIANA PACERS,240,41,84,12,33,21,28,7,30,23,10,5,14,31,115,LOSS
MIAMI HEAT,240,34,75,13,33,43,52,7,39,23,10,2,16,19,124,WIN
HOUSTON ROCKETS,265,38,92,15,50,16,23,4,42,14,9,6,16,27,107,LOSS
OKLAHOMA CITY THUNDER,265,41,92,14,41,23,34,7,47,20,8,6,15,21,119,WIN
MILWAUKEE BUCKS,240,46,82,17,37,12,17,3,40,27,12,3,18,20,121,WIN
ORLANDO MAGIC,240,38,84,19,39,12,14,6,29,24,9,1,18,15,107,LOSS
LOS ANGELES LAKERS,240,39,78,10,30,28,43,12,43,26,6,8,17,21,116,WIN
PORTLAND TRAIL BLAZERS,240,39,95,12,35,18,19,7,31,17,7,4,11,25,108,LOSS
