team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
NEW YORK KNICKS,240,32,83,8,28,17,20,11,38,12,7,5,10,23,89,WIN
BOSTON CELTICS,240,31,76,3,18,21,28,7,39,18,6,3,12,23,86,LOSS
TORONTO RAPTORS,240,39,78,4,16,15,19,7,31,25,3,7,10,20,97,WIN
ORLANDO MAGIC,240,35,81,8,18,17,20,10,31,22,6,4,13,12,95,LOSS
LOS ANGELES CLIPPERS,240,33,83,6,18,16,26,14,31,20,5,4,15,25,88,LOSS
PHOENIX SUNS,240,30,71,5,16,28,37,8,35,18,7,4,14,23,93,WIN
