date,season,team,made_three_point_field_goals,attempted_three_point_field_goals,points,outcome
10/27/09,2009-2010,BOSTON CELTICS,9,19,95,WIN
10/27/09,2009-2010,CLEVELAND CAVALIERS,6,17,89,LOSS
10/27/09,2009-2010,WASHINGTON WIZARDS,4,13,102,WIN
10/27/09,2009-2010,DALLAS MAVERICKS,4,18,91,LOSS
10/27/09,2009-2010,LOS ANGELES CLIPPERS,3,15,92,LOSS
10/27/09,2009-2010,LOS ANGELES LAKERS,4,17,99,WIN
10/27/09,2009-2010,HOUSTON ROCKETS,5,18,87,LOSS
10/27/09,2009-2010,PORTLAND TRAIL BLAZERS,10,21,96,WIN
10/28/09,2009-2010,INDIANA PACERS,10,18,109,LOSS
10/28/09,2009-2010,ATLANTA HAWKS,7,12,120,WIN
10/28/09,2009-2010,CHARLOTTE BOBCATS,0,10,59,LOSS
10/28/09,2009-2010,BOSTON CELTICS,11,29,92,WIN
10/28/09,2009-2010,UTAH JAZZ,6,10,105,LOSS
10/28/09,2009-2010,DENVER NUGGETS,5,13,114,WIN
10/28/09,2009-2010,HOUSTON ROCKETS,12,26,108,WIN
10/28/09,2009-2010,GOLDEN STATE WARRIORS,4,11,107,LOSS
10/28/09,2009-2010,PHOENIX SUNS,7,15,109,WIN
10/28/09,2009-2010,LOS ANGELES CLIPPERS,6,13,107,LOSS
10/28/09,2009-2010,DETROIT PISTONS,6,16,96,WIN
10/28/09,2009-2010,MEMPHIS GRIZZLIES,2,12,74,LOSS
10/28/09,2009-2010,NEW YORK KNICKS,10,39,93,LOSS
10/28/09,2009-2010,MIAMI HEAT,7,15,115,WIN
10/28/09,2009-2010,NEW JERSEY NETS,0,8,93,LOSS
10/28/09,2009-2010,MINNESOTA TIMBERWOLVES,1,7,95,WIN
10/28/09,2009-2010,SACRAMENTO KINGS,3,16,89,LOSS
10/28/09,2009-2010,OKLAHOMA CITY THUNDER,8,14,102,WIN
10/28/09,2009-2010,PHILADELPHIA 76ERS,7,18,106,LOSS
10/28/09,2009-2010,ORLANDO MAGIC,16,29,120,WIN
10/28/09,2009-2010,NEW ORLEANS HORNETS,5,10,96,LOSS
10/28/09,2009-2010,SAN ANTONIO SPURS,9,24,113,WIN
10/28/09,2009-2010,CLEVELAND CAVALIERS,9,22,91,LOSS
10/28/09,2009-2010,TORONTO RAPTORS,5,16,101,WIN
10/29/09,2009-2010,SAN ANTONIO SPURS,4,21,85,LOSS
10/29/09,2009-2010,CHICAGO BULLS,3,16,92,WIN
10/29/09,2009-2010,DENVER NUGGETS,3,11,97,WIN
10/29/09,2009-2010,PORTLAND TRAIL BLAZERS,5,19,94,LOSS
10/30/09,2009-2010,WASHINGTON WIZARDS,5,13,89,LOSS
10/30/09,2009-2010,ATLANTA HAWKS,5,20,100,WIN
10/30/09,2009-2010,CHICAGO BULLS,2,15,90,LOSS
10/30/09,2009-2010,BOSTON CELTICS,12,24,118,WIN
10/30/09,2009-2010,NEW YORK KNICKS,9,36,100,LOSS
10/30/09,2009-2010,CHARLOTTE BOBCATS,3,18,102,WIN
10/30/09,2009-2010,OKLAHOMA CITY THUNDER,2,11,91,WIN
10/30/09,2009-2010,DETROIT PISTONS,5,17,83,LOSS
10/30/09,2009-2010,MIAMI HEAT,1,7,96,WIN
10/30/09,2009-2010,INDIANA PACERS,4,23,83,LOSS
10/30/09,2009-2010,DALLAS MAVERICKS,5,15,94,WIN
10/30/09,2009-2010,LOS ANGELES LAKERS,7,23,80,LOSS
10/30/09,2009-2010,TORONTO RAPTORS,7,22,107,LOSS
10/30/09,2009-2010,MEMPHIS GRIZZLIES,3,9,115,WIN
10/30/09,2009-2010,CLEVELAND CAVALIERS,10,18,104,WIN
10/30/09,2009-2010,MINNESOTA TIMBERWOLVES,3,14,87,LOSS
10/30/09,2009-2010,ORLANDO MAGIC,6,21,95,WIN
10/30/09,2009-2010,NEW JERSEY NETS,5,15,85,LOSS
10/30/09,2009-2010,SACRAMENTO KINGS,7,24,92,LOSS
10/30/09,2009-2010,NEW ORLEANS HORNETS,5,16,97,WIN
10/30/09,2009-2010,MILWAUKEE BUCKS,7,23,86,LOSS
10/30/09,2009-2010,PHILADELPHIA 76ERS,6,18,99,WIN
10/30/09,2009-2010,GOLDEN STATE WARRIORS,6,13,101,LOSS
10/30/09,2009-2010,PHOENIX SUNS,12,22,123,WIN
10/30/09,2009-2010,LOS ANGELES CLIPPERS,6,13,98,LOSS
10/30/09,2009-2010,UTAH JAZZ,2,9,111,WIN
10/31/09,2009-2010,CHARLOTTE BOBCATS,6,13,79,LOSS
10/31/09,2009-2010,CLEVELAND CAVALIERS,9,16,90,WIN
10/31/09,2009-2010,PORTLAND TRAIL BLAZERS,6,18,107,LOSS
10/31/09,2009-2010,HOUSTON ROCKETS,12,24,111,WIN
10/31/09,2009-2010,DALLAS MAVERICKS,3,14,93,WIN
10/31/09,2009-2010,LOS ANGELES CLIPPERS,6,17,84,LOSS
10/31/09,2009-2010,DETROIT PISTONS,4,16,85,LOSS
10/31/09,2009-2010,MILWAUKEE BUCKS,8,19,96,WIN
10/31/09,2009-2010,PHILADELPHIA 76ERS,3,8,141,WIN
10/31/09,2009-2010,NEW YORK KNICKS,14,41,127,LOSS
10/31/09,2009-2010,SACRAMENTO KINGS,6,17,94,LOSS
10/31/09,2009-2010,SAN ANTONIO SPURS,8,16,113,WIN
10/31/09,2009-2010,NEW JERSEY NETS,5,9,104,LOSS
10/31/09,2009-2010,WASHINGTON WIZARDS,9,14,123,WIN
11/1/09,2009-2010,NEW ORLEANS HORNETS,13,28,87,LOSS
11/1/09,2009-2010,BOSTON CELTICS,6,15,97,WIN
11/1/09,2009-2010,MEMPHIS GRIZZLIES,8,18,123,LOSS
11/1/09,2009-2010,DENVER NUGGETS,9,17,133,WIN
11/1/09,2009-2010,ATLANTA HAWKS,7,23,110,LOSS
11/1/09,2009-2010,LOS ANGELES LAKERS,5,15,118,WIN
11/1/09,2009-2010,CHICAGO BULLS,2,12,87,LOSS
11/1/09,2009-2010,MIAMI HEAT,4,15,95,WIN
11/1/09,2009-2010,PORTLAND TRAIL BLAZERS,8,21,83,WIN
11/1/09,2009-2010,OKLAHOMA CITY THUNDER,3,14,74,LOSS
11/1/09,2009-2010,MINNESOTA TIMBERWOLVES,5,11,112,LOSS
11/1/09,2009-2010,PHOENIX SUNS,14,26,120,WIN
11/1/09,2009-2010,ORLANDO MAGIC,17,32,125,WIN
11/1/09,2009-2010,TORONTO RAPTORS,10,17,116,LOSS
11/2/09,2009-2010,NEW JERSEY NETS,3,10,68,LOSS
11/2/09,2009-2010,CHARLOTTE BOBCATS,1,15,79,WIN
11/2/09,2009-2010,MINNESOTA TIMBERWOLVES,2,6,90,LOSS
11/2/09,2009-2010,LOS ANGELES CLIPPERS,4,18,93,WIN
11/2/09,2009-2010,NEW ORLEANS HORNETS,10,26,111,LOSS
11/2/09,2009-2010,NEW YORK KNICKS,7,23,117,WIN
11/2/09,2009-2010,MEMPHIS GRIZZLIES,5,9,116,LOSS
11/2/09,2009-2010,SACRAMENTO KINGS,14,25,127,WIN
11/2/09,2009-2010,HOUSTON ROCKETS,10,19,113,WIN
11/2/09,2009-2010,UTAH JAZZ,3,11,96,LOSS
11/3/09,2009-2010,MILWAUKEE BUCKS,4,20,81,LOSS
11/3/09,2009-2010,CHICAGO BULLS,5,11,83,WIN
11/3/09,2009-2010,WASHINGTON WIZARDS,4,14,90,LOSS
11/3/09,2009-2010,CLEVELAND CAVALIERS,11,26,102,WIN
11/3/09,2009-2010,UTAH JAZZ,4,11,85,LOSS
11/3/09,2009-2010,DALLAS MAVERICKS,7,18,96,WIN
11/3/09,2009-2010,ORLANDO MAGIC,10,35,80,LOSS
11/3/09,2009-2010,DETROIT PISTONS,0,6,85,WIN
11/3/09,2009-2010,DENVER NUGGETS,8,15,111,WIN
11/3/09,2009-2010,INDIANA PACERS,3,22,93,LOSS
11/3/09,2009-2010,PHOENIX SUNS,9,23,104,WIN
11/3/09,2009-2010,MIAMI HEAT,9,24,96,LOSS
11/3/09,2009-2010,LOS ANGELES LAKERS,5,11,101,WIN
11/3/09,2009-2010,OKLAHOMA CITY THUNDER,6,23,98,LOSS
11/3/09,2009-2010,BOSTON CELTICS,14,20,105,WIN
11/3/09,2009-2010,PHILADELPHIA 76ERS,1,16,74,LOSS
11/3/09,2009-2010,ATLANTA HAWKS,5,15,97,WIN
11/3/09,2009-2010,PORTLAND TRAIL BLAZERS,6,21,91,LOSS
11/4/09,2009-2010,MEMPHIS GRIZZLIES,3,9,105,LOSS
11/4/09,2009-2010,GOLDEN STATE WARRIORS,7,12,113,WIN
11/4/09,2009-2010,LOS ANGELES LAKERS,5,15,103,WIN
11/4/09,2009-2010,HOUSTON ROCKETS,7,24,102,LOSS
11/4/09,2009-2010,BOSTON CELTICS,5,19,92,WIN
11/4/09,2009-2010,MINNESOTA TIMBERWOLVES,2,11,90,LOSS
11/4/09,2009-2010,DENVER NUGGETS,10,18,122,WIN
11/4/09,2009-2010,NEW JERSEY NETS,2,15,94,LOSS
11/4/09,2009-2010,DALLAS MAVERICKS,11,26,107,LOSS
11/4/09,2009-2010,NEW ORLEANS HORNETS,8,20,114,WIN
11/4/09,2009-2010,INDIANA PACERS,5,21,101,WIN
11/4/09,2009-2010,NEW YORK KNICKS,7,26,89,LOSS
11/4/09,2009-2010,PHOENIX SUNS,7,22,100,LOSS
11/4/09,2009-2010,ORLANDO MAGIC,12,23,122,WIN
11/4/09,2009-2010,ATLANTA HAWKS,6,16,113,WIN
11/4/09,2009-2010,SACRAMENTO KINGS,5,15,105,LOSS
11/4/09,2009-2010,DETROIT PISTONS,8,17,99,LOSS
11/4/09,2009-2010,TORONTO RAPTORS,8,24,110,WIN
11/4/09,2009-2010,MIAMI HEAT,8,14,93,WIN
11/4/09,2009-2010,WASHINGTON WIZARDS,5,16,89,LOSS
11/5/09,2009-2010,CHICAGO BULLS,3,10,86,WIN
11/5/09,2009-2010,CLEVELAND CAVALIERS,7,18,85,LOSS
11/5/09,2009-2010,SAN ANTONIO SPURS,6,16,99,LOSS
11/5/09,2009-2010,UTAH JAZZ,1,7,113,WIN
11/6/09,2009-2010,PHOENIX SUNS,13,24,110,WIN
11/6/09,2009-2010,BOSTON CELTICS,4,18,103,LOSS
11/6/09,2009-2010,ATLANTA HAWKS,2,16,83,LOSS
11/6/09,2009-2010,CHARLOTTE BOBCATS,11,18,103,WIN
11/6/09,2009-2010,LOS ANGELES CLIPPERS,6,13,118,WIN
11/6/09,2009-2010,GOLDEN STATE WARRIORS,7,22,90,LOSS
11/6/09,2009-2010,OKLAHOMA CITY THUNDER,2,8,94,LOSS
11/6/09,2009-2010,HOUSTON ROCKETS,6,16,105,WIN
11/6/09,2009-2010,WASHINGTON WIZARDS,5,16,86,LOSS
11/6/09,2009-2010,INDIANA PACERS,7,23,102,WIN
11/6/09,2009-2010,MEMPHIS GRIZZLIES,4,7,98,LOSS
11/6/09,2009-2010,LOS ANGELES LAKERS,9,17,114,WIN
11/6/09,2009-2010,DENVER NUGGETS,2,13,88,LOSS
11/6/09,2009-2010,MIAMI HEAT,6,17,96,WIN
11/6/09,2009-2010,MILWAUKEE BUCKS,7,20,87,WIN
11/6/09,2009-2010,MINNESOTA TIMBERWOLVES,4,14,72,LOSS
11/6/09,2009-2010,TORONTO RAPTORS,14,29,107,WIN
11/6/09,2009-2010,NEW ORLEANS HORNETS,6,20,90,LOSS
11/6/09,2009-2010,CLEVELAND CAVALIERS,7,17,100,WIN
11/6/09,2009-2010,NEW YORK KNICKS,8,28,91,LOSS
11/6/09,2009-2010,DETROIT PISTONS,4,11,103,LOSS
11/6/09,2009-2010,ORLANDO MAGIC,8,28,110,WIN
11/6/09,2009-2010,NEW JERSEY NETS,4,14,94,LOSS
11/6/09,2009-2010,PHILADELPHIA 76ERS,8,16,97,WIN
11/6/09,2009-2010,SAN ANTONIO SPURS,4,21,84,LOSS
11/6/09,2009-2010,PORTLAND TRAIL BLAZERS,5,17,96,WIN
11/7/09,2009-2010,DENVER NUGGETS,2,10,100,LOSS
11/7/09,2009-2010,ATLANTA HAWKS,8,19,125,WIN
11/7/09,2009-2010,CHARLOTTE BOBCATS,12,29,90,LOSS
11/7/09,2009-2010,CHICAGO BULLS,4,9,93,WIN
11/7/09,2009-2010,TORONTO RAPTORS,8,22,101,LOSS
11/7/09,2009-2010,DALLAS MAVERICKS,10,20,129,WIN
11/7/09,2009-2010,MEMPHIS GRIZZLIES,2,10,110,LOSS
11/7/09,2009-2010,LOS ANGELES CLIPPERS,6,21,113,WIN
11/7/09,2009-2010,NEW YORK KNICKS,8,15,87,LOSS
11/7/09,2009-2010,MILWAUKEE BUCKS,8,24,102,WIN
11/7/09,2009-2010,BOSTON CELTICS,1,10,86,WIN
11/7/09,2009-2010,NEW JERSEY NETS,5,11,76,LOSS
11/7/09,2009-2010,SACRAMENTO KINGS,11,19,104,WIN
11/7/09,2009-2010,UTAH JAZZ,5,15,99,LOSS
11/8/09,2009-2010,PHILADELPHIA 76ERS,3,18,81,LOSS
11/8/09,2009-2010,DETROIT PISTONS,3,16,88,WIN
11/8/09,2009-2010,NEW ORLEANS HORNETS,7,22,88,LOSS
11/8/09,2009-2010,LOS ANGELES LAKERS,12,27,104,WIN
11/8/09,2009-2010,ORLANDO MAGIC,3,16,74,LOSS
11/8/09,2009-2010,OKLAHOMA CITY THUNDER,9,16,102,WIN
11/8/09,2009-2010,MINNESOTA TIMBERWOLVES,7,19,93,LOSS
11/8/09,2009-2010,PORTLAND TRAIL BLAZERS,7,15,116,WIN
11/8/09,2009-2010,GOLDEN STATE WARRIORS,6,18,107,LOSS
11/8/09,2009-2010,SACRAMENTO KINGS,5,18,120,WIN
11/8/09,2009-2010,PHOENIX SUNS,12,27,102,WIN
11/8/09,2009-2010,WASHINGTON WIZARDS,4,16,90,LOSS
11/9/09,2009-2010,MINNESOTA TIMBERWOLVES,5,20,105,LOSS
11/9/09,2009-2010,GOLDEN STATE WARRIORS,12,23,146,WIN
11/9/09,2009-2010,NEW ORLEANS HORNETS,10,27,112,WIN
11/9/09,2009-2010,LOS ANGELES CLIPPERS,5,18,84,LOSS
11/9/09,2009-2010,UTAH JAZZ,8,21,95,WIN
11/9/09,2009-2010,NEW YORK KNICKS,8,29,93,LOSS
11/9/09,2009-2010,PHOENIX SUNS,15,30,119,WIN
11/9/09,2009-2010,PHILADELPHIA 76ERS,5,13,115,LOSS
11/9/09,2009-2010,TORONTO RAPTORS,11,17,124,LOSS
11/9/09,2009-2010,SAN ANTONIO SPURS,14,28,131,WIN
11/10/09,2009-2010,ORLANDO MAGIC,9,25,93,WIN
11/10/09,2009-2010,CHARLOTTE BOBCATS,2,17,81,LOSS
11/10/09,2009-2010,DENVER NUGGETS,5,16,90,WIN
11/10/09,2009-2010,CHICAGO BULLS,4,18,89,LOSS
11/10/09,2009-2010,HOUSTON ROCKETS,6,23,103,LOSS
11/10/09,2009-2010,DALLAS MAVERICKS,7,12,121,WIN
11/10/09,2009-2010,PORTLAND TRAIL BLAZERS,9,18,93,WIN
11/10/09,2009-2010,MEMPHIS GRIZZLIES,1,10,79,LOSS
11/10/09,2009-2010,WASHINGTON WIZARDS,4,14,76,LOSS
11/10/09,2009-2010,MIAMI HEAT,4,12,90,WIN
11/10/09,2009-2010,OKLAHOMA CITY THUNDER,6,17,98,LOSS
11/10/09,2009-2010,SACRAMENTO KINGS,2,14,101,WIN
11/11/09,2009-2010,UTAH JAZZ,0,10,86,LOSS
11/11/09,2009-2010,BOSTON CELTICS,7,19,105,WIN
11/11/09,2009-2010,CHARLOTTE BOBCATS,4,15,75,LOSS
11/11/09,2009-2010,DETROIT PISTONS,5,14,98,WIN
11/11/09,2009-2010,MEMPHIS GRIZZLIES,2,7,79,LOSS
11/11/09,2009-2010,HOUSTON ROCKETS,6,23,104,WIN
11/11/09,2009-2010,GOLDEN STATE WARRIORS,4,15,94,LOSS
11/11/09,2009-2010,INDIANA PACERS,7,14,108,WIN
11/11/09,2009-2010,OKLAHOMA CITY THUNDER,3,13,83,WIN
11/11/09,2009-2010,LOS ANGELES CLIPPERS,7,20,79,LOSS
11/11/09,2009-2010,DENVER NUGGETS,5,18,102,LOSS
11/11/09,2009-2010,MILWAUKEE BUCKS,6,15,108,WIN
11/11/09,2009-2010,PORTLAND TRAIL BLAZERS,10,25,107,WIN
11/11/09,2009-2010,MINNESOTA TIMBERWOLVES,6,12,84,LOSS
11/11/09,2009-2010,PHILADELPHIA 76ERS,5,20,82,WIN
11/11/09,2009-2010,NEW JERSEY NETS,3,14,79,LOSS
11/11/09,2009-2010,ATLANTA HAWKS,6,13,114,WIN
11/11/09,2009-2010,NEW YORK KNICKS,5,24,101,LOSS
11/11/09,2009-2010,CLEVELAND CAVALIERS,10,14,102,WIN
11/11/09,2009-2010,ORLANDO MAGIC,4,18,93,LOSS
11/11/09,2009-2010,NEW ORLEANS HORNETS,8,19,104,LOSS
11/11/09,2009-2010,PHOENIX SUNS,13,26,124,WIN
11/11/09,2009-2010,DALLAS MAVERICKS,5,15,83,LOSS
11/11/09,2009-2010,SAN ANTONIO SPURS,14,34,92,WIN
11/11/09,2009-2010,CHICAGO BULLS,2,8,89,LOSS
11/11/09,2009-2010,TORONTO RAPTORS,5,20,99,WIN
11/12/09,2009-2010,PHOENIX SUNS,8,23,102,LOSS
11/12/09,2009-2010,LOS ANGELES LAKERS,8,16,121,WIN
11/12/09,2009-2010,CLEVELAND CAVALIERS,9,19,111,WIN
11/12/09,2009-2010,MIAMI HEAT,7,22,104,LOSS
11/13/09,2009-2010,ATLANTA HAWKS,4,15,97,WIN
11/13/09,2009-2010,BOSTON CELTICS,1,15,86,LOSS
11/13/09,2009-2010,LOS ANGELES LAKERS,7,25,79,LOSS
11/13/09,2009-2010,DENVER NUGGETS,6,16,105,WIN
11/13/09,2009-2010,TORONTO RAPTORS,9,20,104,WIN
11/13/09,2009-2010,LOS ANGELES CLIPPERS,4,18,89,LOSS
11/13/09,2009-2010,DALLAS MAVERICKS,4,22,89,WIN
11/13/09,2009-2010,MINNESOTA TIMBERWOLVES,3,17,77,LOSS
11/13/09,2009-2010,PORTLAND TRAIL BLAZERS,2,13,86,WIN
11/13/09,2009-2010,NEW ORLEANS HORNETS,3,14,78,LOSS
11/13/09,2009-2010,GOLDEN STATE WARRIORS,6,18,121,WIN
11/13/09,2009-2010,NEW YORK KNICKS,8,22,107,LOSS
11/13/09,2009-2010,NEW JERSEY NETS,5,17,72,LOSS
11/13/09,2009-2010,ORLANDO MAGIC,8,27,88,WIN
11/13/09,2009-2010,UTAH JAZZ,6,11,112,WIN
11/13/09,2009-2010,PHILADELPHIA 76ERS,5,18,90,LOSS
11/13/09,2009-2010,HOUSTON ROCKETS,8,27,100,LOSS
11/13/09,2009-2010,SACRAMENTO KINGS,8,15,109,WIN
11/14/09,2009-2010,NEW ORLEANS HORNETS,7,27,98,LOSS
11/14/09,2009-2010,ATLANTA HAWKS,7,20,121,WIN
11/14/09,2009-2010,PORTLAND TRAIL BLAZERS,5,20,80,WIN
11/14/09,2009-2010,CHARLOTTE BOBCATS,6,19,74,LOSS
11/14/09,2009-2010,PHILADELPHIA 76ERS,7,20,88,LOSS
11/14/09,2009-2010,CHICAGO BULLS,3,8,94,WIN
11/14/09,2009-2010,UTAH JAZZ,3,12,103,LOSS
11/14/09,2009-2010,CLEVELAND CAVALIERS,9,22,107,WIN
11/14/09,2009-2010,BOSTON CELTICS,3,12,104,LOSS
11/14/09,2009-2010,INDIANA PACERS,9,18,113,WIN
11/14/09,2009-2010,MINNESOTA TIMBERWOLVES,1,15,87,LOSS
11/14/09,2009-2010,MEMPHIS GRIZZLIES,2,14,97,WIN
11/14/09,2009-2010,NEW JERSEY NETS,4,9,80,LOSS
11/14/09,2009-2010,MIAMI HEAT,4,18,81,WIN
11/14/09,2009-2010,GOLDEN STATE WARRIORS,8,20,125,LOSS
11/14/09,2009-2010,MILWAUKEE BUCKS,14,24,129,WIN
11/14/09,2009-2010,OKLAHOMA CITY THUNDER,2,12,101,WIN
11/14/09,2009-2010,SAN ANTONIO SPURS,3,18,98,LOSS
11/14/09,2009-2010,DETROIT PISTONS,9,19,106,WIN
11/14/09,2009-2010,WASHINGTON WIZARDS,9,17,103,LOSS
11/15/09,2009-2010,DALLAS MAVERICKS,7,16,95,WIN
11/15/09,2009-2010,DETROIT PISTONS,2,13,90,LOSS
11/15/09,2009-2010,HOUSTON ROCKETS,9,32,101,WIN
11/15/09,2009-2010,LOS ANGELES LAKERS,7,23,91,LOSS
11/15/09,2009-2010,LOS ANGELES CLIPPERS,5,17,101,WIN
11/15/09,2009-2010,OKLAHOMA CITY THUNDER,3,20,93,LOSS
11/15/09,2009-2010,TORONTO RAPTORS,9,24,100,LOSS
11/15/09,2009-2010,PHOENIX SUNS,8,24,101,WIN
11/16/09,2009-2010,PORTLAND TRAIL BLAZERS,7,17,95,LOSS
11/16/09,2009-2010,ATLANTA HAWKS,5,18,99,WIN
11/16/09,2009-2010,DALLAS MAVERICKS,10,20,115,WIN
11/16/09,2009-2010,MILWAUKEE BUCKS,14,27,113,LOSS
11/16/09,2009-2010,CHARLOTTE BOBCATS,4,14,91,LOSS
11/16/09,2009-2010,ORLANDO MAGIC,11,32,97,WIN
11/17/09,2009-2010,GOLDEN STATE WARRIORS,9,24,108,LOSS
11/17/09,2009-2010,CLEVELAND CAVALIERS,9,20,114,WIN
11/17/09,2009-2010,TORONTO RAPTORS,7,16,112,LOSS
11/17/09,2009-2010,DENVER NUGGETS,7,17,130,WIN
11/17/09,2009-2010,PHOENIX SUNS,6,21,111,WIN
11/17/09,2009-2010,HOUSTON ROCKETS,9,26,105,LOSS
11/17/09,2009-2010,DETROIT PISTONS,3,12,93,LOSS
11/17/09,2009-2010,LOS ANGELES LAKERS,4,20,106,WIN
11/17/09,2009-2010,OKLAHOMA CITY THUNDER,5,14,100,WIN
11/17/09,2009-2010,MIAMI HEAT,5,18,87,LOSS
11/17/09,2009-2010,INDIANA PACERS,4,13,91,WIN
11/17/09,2009-2010,NEW JERSEY NETS,1,11,83,LOSS
11/17/09,2009-2010,LOS ANGELES CLIPPERS,7,20,102,LOSS
11/17/09,2009-2010,NEW ORLEANS HORNETS,8,28,110,WIN
11/17/09,2009-2010,CHICAGO BULLS,7,12,101,WIN
11/17/09,2009-2010,SACRAMENTO KINGS,4,21,87,LOSS
11/18/09,2009-2010,MIAMI HEAT,9,21,90,LOSS
11/18/09,2009-2010,ATLANTA HAWKS,8,20,105,WIN
11/18/09,2009-2010,GOLDEN STATE WARRIORS,6,17,95,LOSS
11/18/09,2009-2010,BOSTON CELTICS,8,19,109,WIN
11/18/09,2009-2010,SAN ANTONIO SPURS,7,15,94,LOSS
11/18/09,2009-2010,DALLAS MAVERICKS,3,17,99,WIN
11/18/09,2009-2010,NEW YORK KNICKS,10,25,110,WIN
11/18/09,2009-2010,INDIANA PACERS,8,26,103,LOSS
11/18/09,2009-2010,LOS ANGELES CLIPPERS,2,10,91,LOSS
11/18/09,2009-2010,MEMPHIS GRIZZLIES,2,10,106,WIN
11/18/09,2009-2010,NEW JERSEY NETS,3,13,85,LOSS
11/18/09,2009-2010,MILWAUKEE BUCKS,10,23,99,WIN
11/18/09,2009-2010,HOUSTON ROCKETS,12,28,97,WIN
11/18/09,2009-2010,MINNESOTA TIMBERWOLVES,4,15,84,LOSS
11/18/09,2009-2010,OKLAHOMA CITY THUNDER,8,21,94,LOSS
11/18/09,2009-2010,ORLANDO MAGIC,13,31,108,WIN
11/18/09,2009-2010,CHARLOTTE BOBCATS,7,24,84,LOSS
11/18/09,2009-2010,PHILADELPHIA 76ERS,6,16,86,WIN
11/18/09,2009-2010,DETROIT PISTONS,4,15,81,LOSS
11/18/09,2009-2010,PORTLAND TRAIL BLAZERS,5,16,87,WIN
11/18/09,2009-2010,TORONTO RAPTORS,6,25,91,LOSS
11/18/09,2009-2010,UTAH JAZZ,3,11,104,WIN
11/18/09,2009-2010,CLEVELAND CAVALIERS,7,22,91,LOSS
11/18/09,2009-2010,WASHINGTON WIZARDS,5,23,108,WIN
11/19/09,2009-2010,CHICAGO BULLS,5,15,93,LOSS
11/19/09,2009-2010,LOS ANGELES LAKERS,6,19,108,WIN
11/19/09,2009-2010,PHOENIX SUNS,11,28,103,LOSS
11/19/09,2009-2010,NEW ORLEANS HORNETS,13,25,110,WIN
11/19/09,2009-2010,UTAH JAZZ,4,9,90,WIN
11/19/09,2009-2010,SAN ANTONIO SPURS,4,20,83,LOSS
11/20/09,2009-2010,HOUSTON ROCKETS,7,22,103,LOSS
11/20/09,2009-2010,ATLANTA HAWKS,8,20,105,WIN
11/20/09,2009-2010,ORLANDO MAGIC,10,22,83,WIN
11/20/09,2009-2010,BOSTON CELTICS,2,19,78,LOSS
11/20/09,2009-2010,SACRAMENTO KINGS,6,16,102,LOSS
11/20/09,2009-2010,DALLAS MAVERICKS,5,19,104,WIN
11/20/09,2009-2010,PORTLAND TRAIL BLAZERS,4,19,94,LOSS
11/20/09,2009-2010,GOLDEN STATE WARRIORS,7,13,108,WIN
11/20/09,2009-2010,CLEVELAND CAVALIERS,6,13,105,WIN
11/20/09,2009-2010,INDIANA PACERS,4,18,95,LOSS
11/20/09,2009-2010,DENVER NUGGETS,4,17,99,LOSS
11/20/09,2009-2010,LOS ANGELES CLIPPERS,7,17,106,WIN
11/20/09,2009-2010,CHARLOTTE BOBCATS,2,14,88,LOSS
11/20/09,2009-2010,MILWAUKEE BUCKS,10,28,95,WIN
11/20/09,2009-2010,WASHINGTON WIZARDS,7,15,108,LOSS
11/20/09,2009-2010,OKLAHOMA CITY THUNDER,11,21,127,WIN
11/20/09,2009-2010,MEMPHIS GRIZZLIES,3,11,102,WIN
11/20/09,2009-2010,PHILADELPHIA 76ERS,9,21,97,LOSS
11/20/09,2009-2010,MIAMI HEAT,7,23,113,LOSS
11/20/09,2009-2010,TORONTO RAPTORS,9,15,120,WIN
11/21/09,2009-2010,PHILADELPHIA 76ERS,5,19,91,LOSS
11/21/09,2009-2010,CLEVELAND CAVALIERS,8,20,97,WIN
11/21/09,2009-2010,CHICAGO BULLS,2,11,93,LOSS
11/21/09,2009-2010,DENVER NUGGETS,7,25,112,WIN
11/21/09,2009-2010,SACRAMENTO KINGS,7,16,106,LOSS
11/21/09,2009-2010,HOUSTON ROCKETS,3,18,113,WIN
11/21/09,2009-2010,MILWAUKEE BUCKS,9,25,103,WIN
11/21/09,2009-2010,MEMPHIS GRIZZLIES,3,14,98,LOSS
11/21/09,2009-2010,NEW YORK KNICKS,8,23,98,WIN
11/21/09,2009-2010,NEW JERSEY NETS,4,18,91,LOSS
11/21/09,2009-2010,ATLANTA HAWKS,4,22,88,LOSS
11/21/09,2009-2010,NEW ORLEANS HORNETS,12,17,96,WIN
11/21/09,2009-2010,MINNESOTA TIMBERWOLVES,2,9,78,LOSS
11/21/09,2009-2010,PORTLAND TRAIL BLAZERS,10,24,106,WIN
11/21/09,2009-2010,WASHINGTON WIZARDS,4,19,84,LOSS
11/21/09,2009-2010,SAN ANTONIO SPURS,10,21,106,WIN
11/21/09,2009-2010,DETROIT PISTONS,4,15,97,LOSS
11/21/09,2009-2010,UTAH JAZZ,3,11,100,WIN
11/22/09,2009-2010,INDIANA PACERS,5,22,88,LOSS
11/22/09,2009-2010,CHARLOTTE BOBCATS,1,10,104,WIN
11/22/09,2009-2010,OKLAHOMA CITY THUNDER,3,23,85,LOSS
11/22/09,2009-2010,LOS ANGELES LAKERS,2,14,101,WIN
11/22/09,2009-2010,NEW ORLEANS HORNETS,12,28,101,LOSS
11/22/09,2009-2010,MIAMI HEAT,7,13,102,WIN
